,scaled_input_age,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_length_of_stay,scaled_input_class,origin_input_age,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_length_of_stay,origin_input_class,scaled_cf_age,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_length_of_stay,scaled_cf_class,origin_cf_age,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_length_of_stay,origin_cf_class,running_time,Found,ground_truth,prediction
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.57867716,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.2,High,63.13681848,25 - 45,Female,Other,1.0,0.0,F,0,0,0,159.8,High,0.08647608757019043,Y,Medium-Low,Medium-Low
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.80340299,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,M,1,0,1,0.07759699624530664,Medium-Low,80.66543322,Less than 25,Male,Caucasian,6.0,168.0,M,1,0,1,62.0,Medium-Low,0.08205485343933105,Y,High,High
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Female,African-American,0.3,0.000946073793755913,M,0,0,0,0.0025031289111389237,High,44.0,25 - 45,Female,African-American,11.4,1.0,M,0,0,0,2.0,High,0.09048080444335938,Y,Medium-Low,Medium-Low
0,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,1.0,High,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,799.0,High,0.08055615425109863,Y,Medium-Low,Medium-Low
0,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0,Medium-Low,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.6,High,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,479.4,High,0.0803670883178711,Y,Medium-Low,Medium-Low
0,0.07692307692307696,Less than 25,Male,African-American,0.05263157894736842,0.000946073793755913,M,0,0,0,0.003754693366708386,Medium-Low,24.000000000000004,Less than 25,Male,African-American,2.0,1.0,M,0,0,0,3.0,Medium-Low,0.07692307692307696,Greater than 45,Male,African-American,0.05263157894736842,0.000946073793755913,M,0,0,0,0.003754693366708386,Medium-Low,24.000000000000004,Greater than 45,Male,African-American,2.0,1.0,M,0,0,0,3.0,Medium-Low,0.08881402015686035,Y,Medium-Low,High
0,0.07692307692307696,Less than 25,Male,African-American,0.0,0.0,M,1,0,1,0.0012515644555694619,Medium-Low,24.000000000000004,Less than 25,Male,African-American,0.0,0.0,M,1,0,1,1.0,Medium-Low,0.07692307692307696,Less than 25,Male,African-American,0.0,0.9323978495,M,1,0,1,0.0012515644555694619,High,24.000000000000004,Less than 25,Male,African-American,0.0,985.5445269215,M,1,0,1,1.0,High,0.08557009696960449,Y,Medium-Low,Medium-Low
0,0.1794871794871795,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0012515644555694619,Medium-Low,32.0,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,1.0,Medium-Low,0.1794871794871795,25 - 45,Male,African-American,0.8,0.0,F,1,0,0,0.0012515644555694619,High,32.0,25 - 45,Male,African-American,30.400000000000002,0.0,F,1,0,0,1.0,High,0.09118199348449707,Y,Medium-Low,Medium-Low
0,0.08974358974358973,25 - 45,Male,Hispanic,0.05263157894736842,0.000946073793755913,F,1,0,1,0.0,Medium-Low,25.0,25 - 45,Male,Hispanic,2.0,1.0,F,1,0,1,0.0,Medium-Low,0.08974358974358973,Less than 25,Male,Hispanic,0.05263157894736842,0.000946073793755913,F,1,0,1,0.7,High,25.0,Less than 25,Male,Hispanic,2.0,1.0,F,1,0,1,559.3,High,0.09183478355407715,Y,Medium-Low,Medium-Low
0,0.24358974358974358,25 - 45,Female,African-American,0.10526315789473684,0.000946073793755913,M,0,0,0,0.0,Medium-Low,37.0,25 - 45,Female,African-American,4.0,1.0,M,0,0,0,0.0,Medium-Low,0.24358974358974358,25 - 45,Female,Caucasian,0.10526315789473684,0.000946073793755913,M,0,0,0,0.8,High,37.0,25 - 45,Female,Caucasian,4.0,1.0,M,0,0,0,639.2,High,0.07590484619140625,Y,Medium-Low,Medium-Low
0,0.11538461538461539,25 - 45,Male,African-American,0.10526315789473684,0.000946073793755913,F,0,0,0,0.04130162703379224,High,27.0,25 - 45,Male,African-American,4.0,1.0,F,0,0,0,33.0,High,0.11538461538461539,25 - 45,Male,Hispanic,0.4,0.000946073793755913,F,0,0,0,0.04130162703379224,High,27.0,25 - 45,Male,Hispanic,15.200000000000001,1.0,F,0,0,0,33.0,High,0.07701301574707031,Y,High,Medium-Low
0,0.19230769230769232,25 - 45,Male,Hispanic,0.02631578947368421,0.000946073793755913,F,0,0,0,0.0,Medium-Low,33.0,25 - 45,Male,Hispanic,1.0,1.0,F,0,0,0,0.0,Medium-Low,0.19230769230769232,25 - 45,Male,Hispanic,0.5,0.000946073793755913,F,0,0,0,0.0,High,33.0,25 - 45,Male,Hispanic,19.0,1.0,F,0,0,0,0.0,High,0.12888860702514648,Y,Medium-Low,Medium-Low
0,0.11538461538461539,25 - 45,Male,African-American,0.10526315789473684,0.28382213812677387,M,1,0,1,0.0,High,27.0,25 - 45,Male,African-American,4.0,300.0,M,1,0,1,0.0,High,0.70989515,25 - 45,Male,African-American,0.10526315789473684,0.28382213812677387,M,1,0,1,0.0,Medium-Low,73.3718217,25 - 45,Male,African-American,4.0,300.0,M,1,0,1,0.0,Medium-Low,0.08122706413269043,Y,High,High
0,0.10256410256410256,25 - 45,Male,Caucasian,0.05263157894736842,0.000946073793755913,F,0,0,0,0.0,Medium-Low,26.0,25 - 45,Male,Caucasian,2.0,1.0,F,0,0,0,0.0,Medium-Low,0.10256410256410256,25 - 45,Male,Caucasian,0.7,0.8313573729,F,0,0,0,0.0,High,26.0,25 - 45,Male,Caucasian,26.6,878.7447431553001,F,0,0,0,0.0,High,0.10785412788391113,Y,Medium-Low,Medium-Low
0,0.20512820512820515,25 - 45,Male,Hispanic,0.05263157894736842,0.0,M,1,0,1,0.0012515644555694619,Medium-Low,34.0,25 - 45,Male,Hispanic,2.0,0.0,M,1,0,1,1.0,Medium-Low,0.79042966,25 - 45,Male,Hispanic,0.05263157894736842,0.0,M,1,1,1,0.0012515644555694619,High,79.65351348000002,25 - 45,Male,Hispanic,2.0,0.0,M,1,1,1,1.0,High,0.16032791137695312,Y,Medium-Low,Medium-Low
0,0.3205128205128205,25 - 45,Male,Caucasian,0.10526315789473684,0.0,F,1,1,1,0.0025031289111389237,Medium-Low,42.99999999999999,25 - 45,Male,Caucasian,4.0,0.0,F,1,1,1,2.0,Medium-Low,0.3205128205128205,25 - 45,Male,Caucasian,0.4,0.899083355,F,1,1,1,0.0025031289111389237,High,42.99999999999999,25 - 45,Male,Caucasian,15.200000000000001,950.331106235,F,1,1,1,2.0,High,0.07738304138183594,Y,Medium-Low,Medium-Low
0,0.24358974358974358,25 - 45,Male,Caucasian,0.10526315789473684,0.0,M,0,0,0,0.0,Medium-Low,37.0,25 - 45,Male,Caucasian,4.0,0.0,M,0,0,0,0.0,Medium-Low,0.24358974358974358,25 - 45,Male,Caucasian,0.10526315789473684,0.0,M,0,0,0,1.0,High,37.0,25 - 45,Male,Caucasian,4.0,0.0,M,0,0,0,799.0,High,0.0771632194519043,Y,Medium-Low,Medium-Low
0,0.15384615384615383,25 - 45,Male,Caucasian,0.0,0.000946073793755913,M,0,0,0,0.0,Medium-Low,30.0,25 - 45,Male,Caucasian,0.0,1.0,M,0,0,0,0.0,Medium-Low,0.15384615384615383,25 - 45,Male,Caucasian,0.8,0.000946073793755913,M,0,0,0,0.4,High,30.0,25 - 45,Male,Caucasian,30.400000000000002,1.0,M,0,0,0,319.6,High,0.07615995407104492,Y,Medium-Low,Medium-Low
0,0.4487179487179488,Greater than 45,Male,African-American,0.21052631578947367,0.000946073793755913,F,1,0,1,0.006257822277847309,Medium-Low,53.00000000000001,Greater than 45,Male,African-American,8.0,1.0,F,1,0,1,5.0,Medium-Low,0.4487179487179488,Greater than 45,Male,African-American,0.21052631578947367,0.000946073793755913,F,1,0,1,0.7,High,53.00000000000001,Greater than 45,Male,African-American,8.0,1.0,F,1,0,1,559.3,High,0.07639598846435547,Y,Medium-Low,Medium-Low
0,0.41025641025641024,Greater than 45,Male,Caucasian,0.02631578947368421,0.000946073793755913,F,1,0,0,0.0012515644555694619,Medium-Low,50.0,Greater than 45,Male,Caucasian,1.0,1.0,F,1,0,0,1.0,Medium-Low,0.41025641025641024,Greater than 45,Male,Caucasian,0.02631578947368421,0.000946073793755913,M,1,0,0,0.2,High,50.0,Greater than 45,Male,Caucasian,1.0,1.0,M,1,0,0,159.8,High,0.09817290306091309,Y,Medium-Low,Medium-Low
