,scaled_input_age,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_length_of_stay,scaled_input_class,origin_input_age,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_length_of_stay,origin_input_class,scaled_cf_age,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_length_of_stay,scaled_cf_class,origin_cf_age,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_length_of_stay,origin_cf_class,running_time,Found,ground_truth,prediction
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.7847654409,F,0,0,0,0.7,High,28.0,25 - 45,Female,Other,1.0,829.4970710313,F,0,0,0,559.3,High,0.26121091842651367,Y,Medium-Low,Medium-Low
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.051282051282051294,Greater than 45,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,Medium-Low,22.0,Greater than 45,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.12333202362060547,Y,High,High
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.8,High,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,639.2,High,0.12479877471923828,Y,Medium-Low,Medium-Low
0,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.8,High,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,639.2,High,0.12418413162231445,Y,Medium-Low,Medium-Low
0,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0,Medium-Low,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,F,0,1,0,0.7,High,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,F,0,1,0,559.3,High,0.13929104804992676,Y,Medium-Low,Medium-Low
0,0.07692307692307696,Less than 25,Male,African-American,0.05263157894736842,0.000946073793755913,M,0,0,0,0.003754693366708386,Medium-Low,24.000000000000004,Less than 25,Male,African-American,2.0,1.0,M,0,0,0,3.0,Medium-Low,0.07692307692307696,Greater than 45,Male,African-American,0.05263157894736842,0.000946073793755913,M,0,0,0,0.7,High,24.000000000000004,Greater than 45,Male,African-American,2.0,1.0,M,0,0,0,559.3,High,0.25656604766845703,Y,Medium-Low,Medium-Low
0,0.07692307692307696,Less than 25,Male,African-American,0.0,0.0,M,1,0,1,0.0012515644555694619,Medium-Low,24.000000000000004,Less than 25,Male,African-American,0.0,0.0,M,1,0,1,1.0,Medium-Low,0.07692307692307696,Less than 25,Male,African-American,0.5,0.0,M,1,0,1,0.0012515644555694619,High,24.000000000000004,Less than 25,Male,African-American,19.0,0.0,M,1,0,1,1.0,High,0.259843111038208,Y,Medium-Low,Medium-Low
0,0.1794871794871795,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0012515644555694619,Medium-Low,32.0,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,1.0,Medium-Low,0.1794871794871795,25 - 45,Male,African-American,0.3,0.0,F,0,0,0,0.0012515644555694619,High,32.0,25 - 45,Male,African-American,11.4,0.0,F,0,0,0,1.0,High,0.255908727645874,Y,Medium-Low,Medium-Low
0,0.08974358974358973,25 - 45,Male,Hispanic,0.05263157894736842,0.000946073793755913,F,1,0,1,0.0,Medium-Low,25.0,25 - 45,Male,Hispanic,2.0,1.0,F,1,0,1,0.0,Medium-Low,0.08974358974358973,25 - 45,Male,Hispanic,0.05263157894736842,0.2310005527,F,1,0,1,1.1,High,25.0,25 - 45,Male,Hispanic,2.0,244.1675842039,F,1,0,1,878.9000000000001,High,0.25960707664489746,Y,Medium-Low,Medium-Low
0,0.24358974358974358,25 - 45,Female,African-American,0.10526315789473684,0.000946073793755913,M,0,0,0,0.0,Medium-Low,37.0,25 - 45,Female,African-American,4.0,1.0,M,0,0,0,0.0,Medium-Low,0.24358974358974358,25 - 45,Male,African-American,0.9,0.000946073793755913,M,0,0,0,0.0,High,37.0,25 - 45,Male,African-American,34.2,1.0,M,0,0,0,0.0,High,0.12035727500915527,Y,Medium-Low,Medium-Low
0,0.11538461538461539,25 - 45,Male,African-American,0.10526315789473684,0.000946073793755913,F,0,0,0,0.04130162703379224,High,27.0,25 - 45,Male,African-American,4.0,1.0,F,0,0,0,33.0,High,0.11538461538461539,25 - 45,Male,African-American,0.10526315789473684,0.000946073793755913,F,0,1,0,0.9,High,27.0,25 - 45,Male,African-American,4.0,1.0,F,0,1,0,719.1,High,0.12420773506164551,Y,High,Medium-Low
0,0.19230769230769232,25 - 45,Male,Hispanic,0.02631578947368421,0.000946073793755913,F,0,0,0,0.0,Medium-Low,33.0,25 - 45,Male,Hispanic,1.0,1.0,F,0,0,0,0.0,Medium-Low,0.19230769230769232,25 - 45,Male,Hispanic,0.7,0.000946073793755913,F,0,0,0,0.0,High,33.0,25 - 45,Male,Hispanic,26.6,1.0,F,0,0,0,0.0,High,0.17775535583496094,Y,Medium-Low,Medium-Low
0,0.11538461538461539,25 - 45,Male,African-American,0.10526315789473684,0.28382213812677387,M,1,0,1,0.0,High,27.0,25 - 45,Male,African-American,4.0,300.0,M,1,0,1,0.0,High,0.11538461538461539,25 - 45,Female,African-American,0.10526315789473684,0.28382213812677387,M,0,0,1,0.0,Medium-Low,27.0,25 - 45,Female,African-American,4.0,300.0,M,0,0,1,0.0,Medium-Low,0.1257033348083496,Y,High,High
0,0.10256410256410256,25 - 45,Male,Caucasian,0.05263157894736842,0.000946073793755913,F,0,0,0,0.0,Medium-Low,26.0,25 - 45,Male,Caucasian,2.0,1.0,F,0,0,0,0.0,Medium-Low,0.10256410256410256,25 - 45,Male,Caucasian,0.7,0.4272921977,F,0,0,0,0.0,High,26.0,25 - 45,Male,Caucasian,26.6,451.6478529689,F,0,0,0,0.0,High,0.17332196235656738,Y,Medium-Low,Medium-Low
0,0.20512820512820515,25 - 45,Male,Hispanic,0.05263157894736842,0.0,M,1,0,1,0.0012515644555694619,Medium-Low,34.0,25 - 45,Male,Hispanic,2.0,0.0,M,1,0,1,1.0,Medium-Low,0.20512820512820515,25 - 45,Male,Hispanic,0.4,0.0,F,1,0,1,0.0012515644555694619,High,34.0,25 - 45,Male,Hispanic,15.200000000000001,0.0,F,1,0,1,1.0,High,0.35232996940612793,Y,Medium-Low,Medium-Low
0,0.3205128205128205,25 - 45,Male,Caucasian,0.10526315789473684,0.0,F,1,1,1,0.0025031289111389237,Medium-Low,42.99999999999999,25 - 45,Male,Caucasian,4.0,0.0,F,1,1,1,2.0,Medium-Low,0.3205128205128205,25 - 45,Male,Asian,0.10526315789473684,0.0,F,1,1,1,0.7,High,42.99999999999999,25 - 45,Male,Asian,4.0,0.0,F,1,1,1,559.3,High,0.12317609786987305,Y,Medium-Low,Medium-Low
0,0.24358974358974358,25 - 45,Male,Caucasian,0.10526315789473684,0.0,M,0,0,0,0.0,Medium-Low,37.0,25 - 45,Male,Caucasian,4.0,0.0,M,0,0,0,0.0,Medium-Low,0.24358974358974358,25 - 45,Male,Caucasian,0.10526315789473684,0.0,M,0,0,1,0.5,High,37.0,25 - 45,Male,Caucasian,4.0,0.0,M,0,0,1,399.5,High,0.12261104583740234,Y,Medium-Low,Medium-Low
0,0.15384615384615383,25 - 45,Male,Caucasian,0.0,0.000946073793755913,M,0,0,0,0.0,Medium-Low,30.0,25 - 45,Male,Caucasian,0.0,1.0,M,0,0,0,0.0,Medium-Low,0.15384615384615383,25 - 45,Male,Caucasian,1.0,0.000946073793755913,M,0,0,0,0.0,High,30.0,25 - 45,Male,Caucasian,38.0,1.0,M,0,0,0,0.0,High,0.1250159740447998,Y,Medium-Low,Medium-Low
0,0.4487179487179488,Greater than 45,Male,African-American,0.21052631578947367,0.000946073793755913,F,1,0,1,0.006257822277847309,Medium-Low,53.00000000000001,Greater than 45,Male,African-American,8.0,1.0,F,1,0,1,5.0,Medium-Low,0.4487179487179488,Greater than 45,Male,African-American,0.9,0.000946073793755913,F,1,0,0,0.006257822277847309,High,53.00000000000001,Greater than 45,Male,African-American,34.2,1.0,F,1,0,0,5.0,High,0.12294816970825195,Y,Medium-Low,Medium-Low
0,0.41025641025641024,Greater than 45,Male,Caucasian,0.02631578947368421,0.000946073793755913,F,1,0,0,0.0012515644555694619,Medium-Low,50.0,Greater than 45,Male,Caucasian,1.0,1.0,F,1,0,0,1.0,Medium-Low,0.41025641025641024,Greater than 45,Male,Caucasian,0.8,0.4568803325,F,1,0,0,0.0012515644555694619,High,50.0,Greater than 45,Male,Caucasian,30.400000000000002,482.9225114525,F,1,0,0,1.0,High,0.2844197750091553,Y,Medium-Low,Medium-Low
