,scaled_input_age,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_length_of_stay,scaled_input_class,origin_input_age,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_length_of_stay,origin_input_class,scaled_cf_age,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_length_of_stay,scaled_cf_class,origin_cf_age,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_length_of_stay,origin_cf_class,running_time,Found,ground_truth,prediction
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Other,0.3,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Other,11.4,0.0,F,0,0,0,0.0,High,0.22686386108398438,Y,Medium-Low,Medium-Low
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.051282051282051294,Greater than 45,Male,Other,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,Medium-Low,22.0,Greater than 45,Male,Other,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.11818599700927734,Y,High,High
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,0.9,0.000946073793755913,M,0,0,0,0.0025031289111389237,High,44.0,25 - 45,Male,African-American,34.2,1.0,M,0,0,0,2.0,High,0.13622713088989258,Y,Medium-Low,Medium-Low
0,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.14102564102564105,25 - 45,Male,African-American,0.5,0.0,M,0,1,0,0.0,High,29.000000000000004,25 - 45,Male,African-American,19.0,0.0,M,0,1,0,0.0,High,0.11841416358947754,Y,Medium-Low,Medium-Low
0,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0,Medium-Low,0.14102564102564105,25 - 45,Male,African-American,0.3,0.0,F,0,0,0,0.0,High,29.000000000000004,25 - 45,Male,African-American,11.4,0.0,F,0,0,0,0.0,High,0.11836385726928711,Y,Medium-Low,Medium-Low
0,0.07692307692307696,Less than 25,Male,African-American,0.05263157894736842,0.000946073793755913,M,0,0,0,0.003754693366708386,Medium-Low,24.000000000000004,Less than 25,Male,African-American,2.0,1.0,M,0,0,0,3.0,Medium-Low,0.07692307692307696,Less than 25,Male,African-American,0.05263157894736842,0.0351925679,M,0,0,0,0.003754693366708386,Medium-Low,24.000000000000004,Less than 25,Male,African-American,2.0,37.1985442703,M,0,0,0,3.0,Medium-Low,0.13093018531799316,Y,Medium-Low,High
0,0.07692307692307696,Less than 25,Male,African-American,0.0,0.0,M,1,0,1,0.0012515644555694619,Medium-Low,24.000000000000004,Less than 25,Male,African-American,0.0,0.0,M,1,0,1,1.0,Medium-Low,0.07692307692307696,Less than 25,Male,African-American,0.0,0.2665277704,M,1,0,1,0.0012515644555694619,High,24.000000000000004,Less than 25,Male,African-American,0.0,281.71985331279996,M,1,0,1,1.0,High,0.24603009223937988,Y,Medium-Low,Medium-Low
0,0.1794871794871795,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,0.0012515644555694619,Medium-Low,32.0,25 - 45,Male,African-American,0.0,0.0,F,0,0,0,1.0,Medium-Low,0.1794871794871795,25 - 45,Male,Asian,0.2,0.0,F,0,0,0,0.0012515644555694619,High,32.0,25 - 45,Male,Asian,7.6000000000000005,0.0,F,0,0,0,1.0,High,0.1554250717163086,Y,Medium-Low,Medium-Low
0,0.08974358974358973,25 - 45,Male,Hispanic,0.05263157894736842,0.000946073793755913,F,1,0,1,0.0,Medium-Low,25.0,25 - 45,Male,Hispanic,2.0,1.0,F,1,0,1,0.0,Medium-Low,0.08974358974358973,25 - 45,Male,Hispanic,0.2,0.000946073793755913,F,1,0,1,0.9,High,25.0,25 - 45,Male,Hispanic,7.6000000000000005,1.0,F,1,0,1,719.1,High,0.2342851161956787,Y,Medium-Low,Medium-Low
0,0.24358974358974358,25 - 45,Female,African-American,0.10526315789473684,0.000946073793755913,M,0,0,0,0.0,Medium-Low,37.0,25 - 45,Female,African-American,4.0,1.0,M,0,0,0,0.0,Medium-Low,0.18881803,25 - 45,Female,African-American,0.6,0.000946073793755913,M,0,0,0,0.0,High,32.72780634,25 - 45,Female,African-American,22.8,1.0,M,0,0,0,0.0,High,0.11860299110412598,Y,Medium-Low,Medium-Low
